title,peak
PUBG: BATTLEGROUNDS,3257248
Lost Ark,1325305
Counter-Strike: Global Offensive,1308963
Dota 2,1295114
Cyberpunk 2077,1054388
ELDEN RING,953426
New World,913634
Apex Legends,511676
Valheim,502387
Terraria,489886
Capcom Arcade Stadium,488791
Fallout 4,472962
Life is Strange 2,468717
Among Us,447476
POSTAL,412063
World of Warships,379096
Grand Theft Auto V,364548
HITMAN™ 2,361001
Kathy Rain,348015
Monster Hunter: World,334684
PUBG: Test Server,320178
Counter-Strike,319586
Destiny 2,292513
The Elder Scrolls V: Skyrim,287411
Dying Light 2,274983
Halo Infinite,272586
KHOLAT,272019
Call of Duty®: Modern Warfare® II,263174
Yu-Gi-Oh! Master Duel,262689
ARK: Survival Evolved,248405
Mount & Blade II: Bannerlord,248216
PAYDAY 2,247709
Rust,245243
Envoy 2,244375
MONSTER HUNTER RISE,231360
For Honor,225831
Braveland,218169
Geneshift,214143
No Man's Sky,212613
Dota Underlords,202334
Tom Clancy's Rainbow Six Siege,201053
New World Public Test Realm,200856
Total War: THREE KINGDOMS,192298
A Story About My Uncle,190590
Warframe,189837
Football Manager 2020,189464
NARAKA: BLADEPOINT,187468
NARAKA: BLADEPOINT Demo,186589
Source SDK Base 2013 Multiplayer,184888
鬼谷八荒 Tale of Immortal,184171
Hyperdrive Massacre,181308
Evolvation,172870
Fall Guys,172213
Call of Duty®: Modern Warfare® II - Open Beta,168330
Total War: WARHAMMER III,166754
DISTRAINT: Deluxe Edition,165266
The Tiny Bang Story,164840
Company of Heroes 2,164688
Sid Meier's Civilization VI,162657
Left 4 Dead 2,162399
Halo: The Master Chief Collection,161024
Path of Exile,158882
Battlefield™ 2042 Open Beta,156665
Orwell,154375
MultiVersus,153433
Team Fortress 2,151253
Z1 Battle Royale,151239
V Rising,150645
Murderous Pursuits,149224
NARAKA: BLADEPOINT Playtest,148931
BROKE PROTOCOL: Online City RPG,147854
Rocket League,147632
Layers of Fear,145384
New World Open Beta,141668
Crusader Kings II,141439
Fortified,138627
Party Animals Demo,135843
Source SDK Base 2007,133175
XCOM 2,133022
DARK SOULS™ III,129975
Hacknet,127640
Wolcen: Lords of Mayhem,127542
Human: Fall Flat,127517
Sekiro™: Shadows Die Twice,125315
OUTRIDERS,125143
Borderlands 2,124678
Back 4 Blood Beta,122659
Prismata,122553
Insurgency,121575
Eador. Masters of the Broken World,118780
Call of Duty: Black Ops - Multiplayer,118593
Total War: ROME II - Emperor Edition,118240
Wallpaper Engine,118041
Tom Clancy's The Division,114228
Total War: WARHAMMER,113019
Call of Duty: Modern Warfare 2 (2009) - Multiplayer,112874
Phasmophobia,112717
FIFA 22,108295
Dread Hunger,107982
Guns of Icarus Online,107883
